Omnidirectional Platform,,,,
Iteration,CPU Usage (%),Memory Usage (%),GPU Usage (%),FPS
0,276.7,0.28661304,[],18.29
1,278.6,0.28661304,[],18.37
2,278.6,0.28661304,[],17.55
3,278.6,0.28661304,[],18.69
4,283.7,0.28661304,[],19.25
5,276.6,0.28661304,[],16.82
6,273.6,0.28661304,[],16.66
7,278.6,0.28661304,[],18.92
8,278.6,0.28661304,[],17.99
9,276.6,0.28661304,[],16.85
10,283.6,0.28661304,[],16.16
11,276.6,0.28661304,[],19.85
12,277.6,0.28661304,[],19.34
13,273.6,0.28661304,[],18.62
14,279.6,0.28661304,[],18.68
15,280.6,0.28661304,[],17.88
16,282.6,0.28661304,[],19.31
17,277.6,0.28661304,[],19.79
18,281.6,0.28661304,[],19.17
19,280.6,0.28661304,[],19.39
20,270.6,0.28661304,[],17.95
21,279.6,0.28661304,[],17.8
22,277.6,0.28661304,[],18.37
23,272.6,0.28661304,[],18.6
24,278.6,0.28661304,[],17.59
25,276.6,0.28661304,[],17.95
26,275.6,0.28661304,[],18.89
27,276.6,0.28661304,[],18.9
28,275.6,0.28661304,[],18.74
29,276.6,0.28661304,[],17.89
30,278.6,0.28661304,[],18.14
31,270.6,0.28661304,[],19.12
32,273.6,0.28661304,[],18.01
33,279.6,0.28661304,[],19.03
34,279.6,0.28661304,[],18.69
35,276.6,0.28661304,[],17.28
36,279.6,0.28661304,[],18.38
37,273.6,0.28661304,[],18.53
38,277.6,0.28661304,[],17.41
39,273.6,0.28661304,[],19.34
40,274.6,0.28661304,[],17.42
41,274.6,0.28661304,[],20.26
42,269.6,0.28661304,[],16.88
43,273.8,0.28661304,[],17.36
44,276.6,0.28661304,[],18.39
45,264.6,0.28661304,[],17.97
46,275.6,0.28661304,[],17.82
47,278.6,0.28661304,[],18.82
48,270.6,0.28661304,[],17.78
49,273.6,0.28661304,[],16.77
50,269.6,0.28661304,[],18.26
51,282.6,0.28661304,[],18.26
52,272.6,0.28661304,[],19.46
53,275.6,0.28661304,[],19.39
54,276.6,0.28661304,[],18.09
55,279.6,0.28661304,[],18.73
56,273.6,0.28661304,[],16.95
57,273.6,0.28661304,[],18.45
58,282.6,0.28661304,[],17.65
59,278.6,0.28661304,[],18.78
