KUKA Omni Rob,,,,
Iteration,CPU Usage (%),Memory Usage (%),FPS,Simulator
0,231.7,0.252099508,33.09,CoppeliaSim
1,244.7,0.252900103,33.63,CoppeliaSim
2,240.6,0.252900103,31.55,CoppeliaSim
3,243.6,0.252900103,29.69,CoppeliaSim
4,246.7,0.253100251,33.02,CoppeliaSim
5,240.6,0.253500549,30.89,CoppeliaSim
6,241.7,0.253500549,30.97,CoppeliaSim
7,240.7,0.253500549,33.31,CoppeliaSim
8,231.6,0.253500549,32.59,CoppeliaSim
9,239.7,0.254034279,33.67,CoppeliaSim
10,247.6,0.254634725,31.22,CoppeliaSim
11,241.7,0.254634725,32.51,CoppeliaSim
12,236.7,0.254634725,33.9,CoppeliaSim
13,230.7,0.254634725,33.11,CoppeliaSim
14,236.7,0.254634725,29.37,CoppeliaSim
15,233.7,0.254634725,29.5,CoppeliaSim
16,234.6,0.254634725,30.56,CoppeliaSim
17,241.7,0.254634725,32.8,CoppeliaSim
18,243.7,0.254634725,28.04,CoppeliaSim
19,235.6,0.254634725,26.7,CoppeliaSim
20,240.7,0.254834874,27.51,CoppeliaSim
21,231.7,0.254834874,29.56,CoppeliaSim
22,240.7,0.254834874,29.58,CoppeliaSim
23,237.7,0.254834874,30.35,CoppeliaSim
24,230.7,0.254834874,32.78,CoppeliaSim
25,233.8,0.254834874,30.67,CoppeliaSim
26,231.6,0.254834874,30.64,CoppeliaSim
27,232.7,0.254834874,30.32,CoppeliaSim
28,240.7,0.254834874,30.06,CoppeliaSim
29,239.7,0.254834874,34.32,CoppeliaSim
30,226.7,0.254834874,32.31,CoppeliaSim
31,240.6,0.254834874,33.74,CoppeliaSim
32,242.6,0.254834874,33.88,CoppeliaSim
33,240.7,0.254834874,32.73,CoppeliaSim
34,233.7,0.254834874,31.9,CoppeliaSim
35,237.7,0.254834874,29.36,CoppeliaSim
36,238.7,0.254834874,32.65,CoppeliaSim
37,240.7,0.254834874,32.15,CoppeliaSim
38,248.7,0.254834874,30.22,CoppeliaSim
39,236.7,0.254834874,28.99,CoppeliaSim
40,232.7,0.254834874,31.47,CoppeliaSim
41,238.7,0.254834874,30.1,CoppeliaSim
42,235.7,0.254834874,31.84,CoppeliaSim
43,238.7,0.254834874,33.38,CoppeliaSim
44,238.7,0.254834874,33.83,CoppeliaSim
45,242.7,0.254834874,32.82,CoppeliaSim
46,233.6,0.254834874,33.43,CoppeliaSim
47,233.7,0.254834874,31.2,CoppeliaSim
48,232.7,0.254834874,32.25,CoppeliaSim
49,237.7,0.254834874,30.35,CoppeliaSim
50,245.7,0.254834874,28.04,CoppeliaSim
51,245.6,0.254834874,29,CoppeliaSim
52,233.6,0.254834874,31.88,CoppeliaSim
53,229.7,0.254834874,29.8,CoppeliaSim
54,237.7,0.254834874,29.7,CoppeliaSim
55,77.9,0.261239635,29.55,CoppeliaSim
56,74.9,0.26204023,29.31,CoppeliaSim
57,73.9,0.26204023,30.97,CoppeliaSim
58,73.9,0.26204023,32.54,CoppeliaSim
59,73.9,0.26204023,30.62,CoppeliaSim
