Pioneer P3dx - Turtlebot (Similar),,,,
Iteration,CPU Usage (%),Memory Usage (%),GPU Usage (%),FPS
0,287.7,0.25660892,[],1.3656
1,287.6,0.25660892,[],20.6881
2,290.6,0.25660892,[],21.2047
3,285.6,0.25660892,[],20.2805
4,276.6,0.25660892,[],17.9872
5,289.6,0.25660892,[],19.2906
6,288.6,0.25660892,[],21.2044
7,286.6,0.25660892,[],19.7739
8,292.6,0.25660892,[],20.1715
9,289.6,0.25660892,[],20.5481
10,295.6,0.25660892,[],19.4848
11,289.6,0.25660892,[],19.3
12,282.6,0.25660892,[],21.4503
13,288.6,0.25660892,[],20.4155
14,286.6,0.25660892,[],20.5542
15,296.6,0.25660892,[],19.6757
16,292.6,0.25660892,[],19.4866
17,291.6,0.25660892,[],19.9598
18,278.6,0.25660892,[],19.5923
19,287.6,0.25660892,[],19.1743
20,291.5,0.25660892,[],19.1751
21,289.6,0.25660892,[],19.9133
22,293.6,0.244624254,[],20.5064
23,293.6,0.244624254,[],19.9058
24,289.6,0.244624254,[],19.8408
25,290.6,0.244624254,[],18.6448
26,278.6,0.244624254,[],20.1574
27,281.6,0.244624254,[],19.6714
28,277.6,0.244624254,[],19.9602
29,275.6,0.244624254,[],19.3474
30,274.6,0.244624254,[],19.8224
31,279.6,0.244624254,[],19.9248
32,284.6,0.244624254,[],20.9187
33,288.6,0.244624254,[],20.5357
34,282.6,0.244624254,[],18.5579
35,286.6,0.244624254,[],17.6667
36,283.6,0.244624254,[],20.6034
37,290.6,0.244624254,[],18.7821
38,293.6,0.244624254,[],20.4521
39,285.6,0.244624254,[],18.9243
40,292.6,0.244624254,[],20.9452
41,290.6,0.244624254,[],20.7908
42,294.6,0.244624254,[],19.8777
43,295.6,0.244624254,[],21.9585
44,295.6,0.244624254,[],18.9839
45,305.6,0.244624254,[],19.5612
46,298.6,0.244624254,[],18.5337
47,305.5,0.244624254,[],19.8238
48,299.6,0.244624254,[],20.4001
49,295.6,0.244624254,[],21.1994
50,297.6,0.244624254,[],20.7019
51,299.6,0.244624254,[],20.0336
52,298.6,0.244624254,[],19.1618
53,302.6,0.244624254,[],20.6533
54,295.6,0.244624254,[],19.8322
55,306.6,0.244624254,[],20.957
56,295.6,0.244624254,[],20.8796
57,294.6,0.244624254,[],20.1378
58,308.6,0.244624254,[],20.0274
59,298.6,0.244624254,[],20.4979
