Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
1,2.9,"[0.0, 0.0, 15.6, 0.0, 40.6, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 6.2, 0.0, 26.6, 0.0, 4.7, 3.1, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 73.8, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 1.6]",46.8,30515.04688,38,85.28289795,6986.375,0.463714638,1
2,4.8,"[0.0, 0.0, 21.5, 0.0, 32.8, 0.0, 4.7, 15.6, 3.1, 0.0, 1.6, 12.5, 0.0, 0.0, 0.0, 14.1, 4.7, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 38.5, 0.0, 0.0, 12.5, 0.0, 1.6, 1.6, 3.1, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 76.6, 0.0, 6.2, 0.0, 0.0, 6.2, 0.0, 1.6, 0.0, 0.0]",46.8,30524,33,85.28289795,6986.375,0.326873644,1
3,3.4,"[1.5, 0.0, 18.5, 0.0, 24.6, 0.0, 3.1, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 1.6, 4.6, 0.0, 4.5, 0.0, 0.0, 0.0, 0.0, 1.6]",46.8,30519.73438,39,85.28289795,6986.375,0.326769437,1
4,3,"[0.0, 0.0, 12.3, 0.0, 16.9, 13.8, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.4, 1.5, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 77.3, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0]",46.8,30514.60938,39,85.27832031,6986,0.32717574,1
5,5.5,"[1.5, 0.0, 3.1, 0.0, 64.6, 3.1, 36.9, 1.5, 33.8, 3.1, 0.0, 0.0, 4.6, 0.0, 21.5, 31.2, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 9.2, 0.0, 3.1, 9.2, 6.2, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 61.5, 0.0, 12.3, 3.1, 1.6, 0.0, 0.0, 0.0, 0.0, 1.5]",47,30645.55078,29,85.93673706,7039.9375,0.326487936,1
6,4.7,"[1.5, 0.0, 12.5, 3.0, 30.8, 0.0, 3.1, 0.0, 3.1, 1.5, 0.0, 1.5, 10.9, 1.5, 3.1, 4.6, 1.5, 1.5, 1.5, 1.5, 1.5, 0.0, 0.0, 1.5, 0.0, 1.5, 3.1, 3.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 68.8, 1.5, 4.7, 0.0, 0.0, 3.0, 3.1, 1.5, 0.0, 1.5]",47,30630.32422,28,85.43014526,6998.4375,0.326766254,1
7,2.5,"[0.0, 0.0, 10.8, 0.0, 42.2, 0.0, 6.2, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 4.8, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 1.5, 1.6, 1.6, 1.6, 1.6, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.7, 9.2, 4.7, 4.7, 15.9, 1.6, 0.0, 0.0, 4.8, 0.0]",47,30616.18359,36,85.1524353,6975.6875,0.327206496,1
8,2.9,"[0.0, 0.0, 18.5, 0.0, 38.5, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 13.8, 1.5, 7.7, 0.0, 6.2, 1.5, 0.0, 1.5, 0.0, 0.0, 1.5, 27.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 0.0, 0.0, 0.0, 4.6, 0.0, 1.5, 0.0, 0.0, 1.5]",47,30609.10156,41,85.03570557,6966.125,0.3270781,1
9,5.6,"[0.0, 0.0, 12.5, 1.5, 32.3, 12.5, 4.6, 27.7, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.2, 0.0, 70.8, 4.6, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",47,30612.81641,38,85.75444221,7025.003906,0.326792147,1
10,3.7,"[0.0, 0.0, 6.2, 0.0, 34.4, 0.0, 1.6, 0.0, 1.6, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 7.8, 7.8, 1.6, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 76.6, 0.0, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 0.0, 1.6]",47,30624.31641,37,85.89177132,7036.253906,0.326802,1
11,2.9,"[0.0, 0.0, 14.1, 0.0, 26.6, 18.5, 3.1, 0.0, 7.8, 0.0, 1.6, 3.1, 1.6, 0.0, 1.6, 0.0, 3.1, 1.6, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 64.6, 6.2, 12.5, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 4.7]",47,30620.99219,39,85.27607918,6985.816406,0.32680498,1
