Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
1,3.9,"[4.7, 3.1, 21.5, 0.0, 29.7, 0.0, 1.6, 0.0, 3.1, 0.0, 0.0, 0.0, 3.1, 0.0, 6.2, 0.0, 6.2, 0.0, 1.5, 0.0, 1.6, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 6.3, 0.0, 73.4, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",45.7,29809.3125,35,90.08955956,7380.136719,0.475370584,1
2,4.5,"[0.0, 0.0, 9.2, 0.0, 30.8, 16.9, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 1.5, 4.6, 6.2, 0.0, 4.6, 6.2, 0.0, 3.1, 0.0, 7.7, 0.0, 6.2, 0.0, 72.3, 0.0, 4.6, 3.1, 0.0, 0.0, 4.6, 0.0, 0.0, 19.7]",45.8,29814.29688,35,90.08955956,7380.136719,0.326736192,1
3,5.5,"[0.0, 1.5, 10.8, 7.7, 44.6, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 54.7, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.8, 12.3, 0.0, 3.1, 6.2, 15.4, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 70.3, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 3.1]",45.8,29815.61328,38,90.08955956,7380.136719,0.326718681,1
4,5.4,"[0.0, 0.0, 12.3, 0.0, 24.6, 0.0, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 9.1, 16.7, 0.0, 6.2, 6.2, 0.0, 0.0, 1.5, 0.0, 1.5, 4.5, 58.5, 9.1, 6.2, 0.0, 4.6, 0.0, 10.8, 3.1, 0.0, 3.1]",45.8,29819.19141,39,90.08955956,7380.136719,0.326869466,1
5,5,"[0.0, 0.0, 17.2, 0.0, 21.5, 0.0, 9.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 18.8, 0.0, 3.1, 0.0, 3.1, 0.0, 4.6, 0.0, 10.9, 0.0, 9.4, 0.0, 0.0, 12.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",45.8,29822.97266,38,90.08955956,7380.136719,0.32693413,1
6,3.9,"[0.0, 0.0, 7.8, 0.0, 56.2, 0.0, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 26.6, 0.0, 0.0, 58.7, 4.7, 0.0, 1.6, 1.6, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 64.6, 0.0, 4.7, 0.0, 23.4, 1.6, 0.0, 0.0, 0.0, 1.5]",45.8,29815.27734,40,90.08955956,7380.136719,0.325402033,1
7,4.4,"[0.0, 1.5, 18.5, 0.0, 38.5, 0.0, 13.8, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 1.5, 0.0, 4.6, 3.0, 0.0, 13.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 71.9, 0.0, 4.6, 0.0, 0.0, 0.0, 6.2, 6.2, 0.0, 1.5]",45.7,29807.14844,39,90.08955956,7380.136719,0.325410895,1
8,3,"[0.0, 0.0, 20.3, 0.0, 39.4, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 15.4, 0.0, 1.6, 6.2, 6.2, 1.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.2, 1.6, 6.2, 0.0, 7.8, 6.2, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 7.8, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 1.6]",45.8,29811.96484,38,90.08955956,7380.136719,0.327118506,1
9,3.6,"[0.0, 0.0, 9.2, 0.0, 32.3, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.8, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 7.7, 6.2, 16.9, 3.1, 15.4, 0.0, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 73.4, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5]",45.8,29815.58203,38,90.08955956,7380.136719,0.327331494,1
10,8.9,"[3.0, 0.0, 9.2, 0.0, 27.7, 0.0, 27.7, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 12.3, 0.0, 0.0, 0.0, 0.0, 26.2, 3.1, 0.0, 0.0, 0.0, 4.6, 7.8, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.4, 0.0, 4.7, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",45.8,29817.07422,41,90.08955956,7380.136719,0.32493058,1
