Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
1,5.1,"[18.5, 0.0, 15.6, 9.1, 53.8, 0.0, 12.3, 0.0, 0.0, 0.0, 1.5, 0.0, 21.5, 0.0, 3.1, 24.6, 6.2, 0.0, 0.0, 1.5, 16.9, 0.0, 35.4, 0.0, 3.1, 3.1, 1.5, 4.6, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 3.1, 0.0, 0.0, 0.0, 61.5, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.4]",48.5,31573.04297,33,87.94956207,7204.828125,0.46082816,1
2,7.1,"[0.0, 6.2, 3.1, 6.1, 30.3, 0.0, 3.1, 15.6, 0.0, 0.0, 12.3, 0.0, 0.0, 3.1, 20.0, 15.4, 3.1, 6.2, 1.5, 0.0, 0.0, 46.9, 29.2, 27.7, 0.0, 0.0, 1.5, 0.0, 0.0, 18.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 67.2, 0.0, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.5]",48.5,31579.0625,29,87.5787735,7174.453125,0.324918145,1
3,6.5,"[0.0, 0.0, 13.8, 1.5, 28.8, 10.8, 10.8, 0.0, 10.8, 0.0, 1.5, 0.0, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 35.4, 0.0, 3.1, 13.8, 9.2, 1.6, 3.1, 0.0, 9.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.3]",48.5,31571.76172,36,86.7975235,7110.453125,0.325057018,1
4,6.2,"[10.8, 0.0, 10.8, 0.0, 24.6, 0.0, 7.7, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 6.2, 0.0, 0.0, 1.5, 1.5, 31.2, 0.0, 1.5, 9.1, 1.5, 6.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 64.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 23.4]",48.4,31567.89453,29,87.5787735,7174.453125,0.325253532,1
5,6.4,"[1.6, 1.6, 14.1, 0.0, 25.0, 0.0, 20.0, 0.0, 6.2, 0.0, 20.3, 0.0, 10.9, 1.6, 6.2, 34.4, 0.0, 0.0, 1.6, 0.0, 14.1, 14.1, 53.1, 1.6, 4.7, 6.2, 1.6, 7.8, 1.6, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 0.0, 0.0, 1.6, 0.0, 6.2, 1.6, 6.2, 21.9]",48.5,31573.91406,28,87.5787735,7174.453125,0.325096574,1
6,5.2,"[4.6, 0.0, 12.3, 0.0, 43.3, 0.0, 6.2, 1.5, 0.0, 0.0, 1.5, 0.0, 6.2, 0.0, 0.0, 0.0, 3.1, 0.0, 13.8, 0.0, 0.0, 1.5, 43.8, 0.0, 0.0, 24.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.7, 0.0, 0.0, 82.8, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 60.0]",48.4,31566.9375,39,86.7975235,7110.453125,0.325648943,1
7,5.5,"[0.0, 1.5, 9.4, 0.0, 24.6, 0.0, 6.2, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.7, 0.0, 0.0, 0.0, 0.0, 12.3, 0.0, 53.8, 0.0, 0.0, 0.0, 1.5, 6.2, 3.1, 1.5, 7.7, 7.8, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 72.7, 0.0, 0.0, 1.5, 0.0, 4.6, 0.0, 0.0, 0.0, 26.2]",48.4,31562.05859,33,86.7975235,7110.453125,0.325292632,1
8,5.2,"[12.3, 0.0, 6.2, 17.9, 33.8, 0.0, 18.5, 12.3, 21.5, 0.0, 3.1, 1.5, 21.5, 0.0, 6.2, 1.6, 1.5, 0.0, 0.0, 3.1, 0.0, 0.0, 20.3, 33.8, 0.0, 21.5, 3.1, 1.5, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.1, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.2]",48.4,31551.26172,34,86.7975235,7110.453125,0.325107158,1
9,7,"[12.5, 0.0, 16.9, 0.0, 43.1, 0.0, 3.1, 0.0, 1.6, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 1.6, 1.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 0.0, 57.8, 0.0, 4.7, 0.0, 1.6, 0.0, 0.0, 0.0, 6.2, 21.9]",48.4,31535.32031,40,86.7975235,7110.453125,0.326829248,1
10,6.8,"[0.0, 0.0, 20.0, 0.0, 24.6, 9.2, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 18.5, 12.3, 13.8, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 37.5, 0.0, 0.0, 4.6, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 67.7, 0.0, 15.2, 1.5, 12.3, 0.0, 3.1, 0.0, 0.0, 30.8]",48.4,31547.26953,33,86.7975235,7110.453125,0.327443524,1
