Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor
1,5.4,"[1.5, 0.0, 9.2, 0.0, 42.4, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 33.8, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 6.2, 3.1, 1.5, 10.8, 10.8, 9.2, 1.5, 0.0]",48.6,31664.90234,30,87.75453568,7188.851563,0.475457019,1
2,4.4,"[1.6, 0.0, 10.9, 3.1, 37.5, 0.0, 4.6, 0.0, 3.1, 0.0, 0.0, 0.0, 25.0, 0.0, 10.9, 0.0, 14.1, 0.0, 1.6, 1.6, 0.0, 0.0, 17.2, 0.0, 1.6, 0.0, 3.1, 0.0, 9.2, 3.1, 1.6, 0.0, 0.0, 0.0, 0.0, 10.8, 0.0, 0.0, 66.2, 0.0, 0.0, 4.8, 4.7, 1.6, 0.0, 0.0, 0.0, 4.7]",48.6,31691.9375,39,87.75911331,7189.226563,0.327029186,1
3,4.6,"[4.7, 3.1, 15.6, 1.6, 32.8, 1.6, 35.9, 3.1, 34.4, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 36.9, 0.0, 1.6, 4.6, 3.1, 0.0, 0.0, 84.6, 0.0, 1.6, 1.6, 3.1, 1.6, 0.0, 1.6, 1.6, 1.6, 1.6, 3.1, 1.6, 1.6, 0.0, 1.5, 63.1, 1.5, 6.2, 9.5, 14.1, 3.1, 1.6, 1.6, 1.5, 0.0]",48.6,31698.78906,39,87.75911331,7189.226563,0.325282566,1
4,6.2,"[1.5, 0.0, 12.5, 0.0, 40.9, 0.0, 3.1, 13.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 3.1, 21.9, 0.0, 4.6, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 66.2, 0.0, 6.2, 10.8, 10.8, 9.2, 1.5, 0.0, 0.0, 0.0]",48.7,31701.80078,34,87.62331009,7178.101563,0.325014248,1
5,6,"[7.7, 0.0, 9.2, 0.0, 27.7, 1.5, 13.8, 0.0, 4.6, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 39.1, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.4, 1.6, 0.0, 0.0, 0.0, 0.0, 68.2, 0.0, 7.7, 4.7, 3.1, 4.6, 0.0, 0.0, 0.0, 1.5]",48.6,31699.42578,37,87.44707108,7163.664063,0.326881745,1
6,5.5,"[0.0, 0.0, 13.8, 0.0, 27.7, 0.0, 12.3, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 29.2, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 15.4, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.1, 0.0, 6.2, 1.5, 3.0, 33.8, 6.2, 4.5, 3.0, 6.2]",48.7,31699.88672,33,87.3585701,7156.414063,0.325078055,1
7,7.3,"[9.4, 0.0, 6.2, 0.0, 39.1, 0.0, 29.7, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 17.2, 0.0, 1.6, 0.0, 23.4, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.1, 0.0, 0.0, 1.5, 0.0, 15.6, 0.0, 0.0, 1.5, 7.8]",48.6,31698.14063,39,87.3585701,7156.414063,0.325350516,1
8,4.3,"[0.0, 0.0, 7.8, 0.0, 28.1, 0.0, 9.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 46.2, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 1.5, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.6, 0.0, 1.6, 14.1, 1.6, 26.6, 9.4, 0.0, 7.9, 7.7]",48.6,31691.375,30,87.3585701,7156.414063,0.32494367,1
9,5.2,"[7.8, 0.0, 25.0, 0.0, 37.5, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 26.6, 0.0, 4.7, 9.4, 0.0, 15.6, 0.0, 0.0, 0.0, 10.9, 39.1, 0.0, 0.0, 0.0, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 65.1, 0.0, 4.8, 0.0, 0.0, 15.6, 0.0, 0.0, 0.0, 3.1]",48.6,31687.73438,39,87.24212646,7146.875,0.326975954,1
10,6.5,"[10.8, 0.0, 17.2, 0.0, 29.2, 0.0, 18.2, 25.0, 0.0, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 26.2, 4.6, 0.0, 24.6, 1.5, 0.0, 0.0, 60.9, 0.0, 0.0, 4.7, 6.2, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 4.6, 0.0, 1.5, 12.3, 3.1, 4.6, 0.0, 1.5]",48.6,31698.48047,33,86.99264526,7126.4375,0.325390093,1
11,5.1,"[4.7, 0.0, 10.8, 0.0, 26.6, 0.0, 7.8, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 6.2, 31.2, 0.0, 1.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 3.1, 7.8, 10.9, 0.0, 7.8, 0.0, 3.1, 17.2, 0.0]",48.6,31695.46484,31,86.99264526,7126.4375,0.325613347,1
12,5,"[17.2, 1.6, 15.6, 1.6, 33.8, 0.0, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.5, 0.0, 0.0, 0.0, 7.7, 1.6, 3.1, 3.1, 34.4, 0.0, 0.0, 0.0, 3.1, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 63.1, 0.0, 4.7, 0.0, 0.0, 17.2, 0.0, 0.0, 0.0, 3.1]",48.6,31689.38281,35,86.99264526,7126.4375,0.325084908,1
13,7.4,"[1.5, 0.0, 33.8, 3.0, 36.9, 0.0, 4.6, 26.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 1.5, 0.0, 4.6, 0.0, 1.5, 0.0, 16.9, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 1.5, 0.0, 0.0, 0.0, 0.0, 66.2, 0.0, 13.8, 3.1, 10.8, 18.5, 6.2, 0.0, 0.0, 3.1]",48.6,31686.73828,38,86.99264526,7126.4375,0.325246546,1
14,4.7,"[1.5, 0.0, 18.5, 6.2, 29.2, 0.0, 10.4, 0.0, 0.0, 0.0, 1.5, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 4.6, 34.8, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 1.5, 4.6, 4.5, 0.0, 0.0, 1.5, 1.6, 0.0, 0.0, 62.5, 0.0, 3.1, 4.6, 6.2, 19.7, 3.1, 0.0, 0.0, 4.6]",48.6,31697.19531,31,86.99264526,7126.4375,0.327244688,1
15,4.5,"[0.0, 0.0, 17.2, 3.1, 37.5, 0.0, 4.7, 17.2, 1.6, 0.0, 1.6, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 1.6, 3.1, 0.0, 0.0, 0.0, 7.8, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 0.0, 4.7, 7.7, 9.4, 29.7, 3.1, 0.0, 4.6, 0.0]",48.7,31700.09375,31,86.99264526,7126.4375,0.325121925,1
16,4.4,"[7.8, 17.2, 9.4, 14.1, 34.4, 1.6, 0.0, 29.7, 26.6, 0.0, 3.1, 0.0, 14.1, 0.0, 17.2, 37.5, 1.6, 0.0, 1.6, 0.0, 1.6, 0.0, 18.8, 0.0, 0.0, 4.7, 7.8, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 61.5, 1.6, 4.7, 1.6, 1.5, 4.7, 4.7, 0.0, 0.0, 1.5]",48.7,31702.92578,39,86.99264526,7126.4375,0.326552577,1
17,5.7,"[4.7, 1.6, 9.4, 0.0, 26.6, 0.0, 12.3, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 1.6, 0.0, 9.4, 43.1, 0.0, 1.6, 0.0, 0.0, 0.0, 4.7, 4.7, 4.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 70.3, 0.0, 0.0, 7.8, 3.1, 21.9, 0.0, 0.0, 0.0, 6.2]",48.7,31701.3125,30,86.99264526,7126.4375,0.326730694,1
18,5.8,"[1.5, 1.5, 21.5, 1.5, 34.8, 0.0, 3.1, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 0.0, 1.5, 0.0, 0.0, 30.8, 13.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 70.8, 0.0, 0.0, 4.6, 1.5, 26.2, 4.6, 1.5, 0.0, 3.1]",48.7,31705.59375,41,86.99264526,7126.4375,0.325157918,1
19,5.1,"[1.5, 1.5, 15.4, 1.5, 35.4, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 26.6, 0.0, 0.0, 20.0, 1.5, 0.0, 0.0, 67.7, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 81.5, 0.0, 0.0, 7.7, 6.2, 7.7, 0.0, 0.0, 0.0, 40.0]",48.7,31707.61328,10,86.84997559,7114.75,0.326698272,1
