Time,CPU Usage (%),CPU Usage Per Core (%),Memory Usage (%),Memory Usage (MB),GPU Utilization (%),GPU Memory Usage (%),GPU Memory Usage (MB),FPS,Real-Time Factor,Simulator
1,3,"[0.0, 0.0, 21.5, 0.0, 15.4, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 21.5, 4.6, 4.5, 4.6, 3.1, 10.8, 15.4, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 70.3, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",44.5,29027.125,35,85.71753502,7021.980469,0.470362524,1,Isaac Sim
2,6,"[13.8, 0.0, 9.2, 13.8, 53.0, 0.0, 1.5, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 4.6, 0.0, 29.2, 0.0, 0.0, 0.0, 0.0, 13.8, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 21.5, 7.7, 0.0, 0.0, 0.0, 0.0, 13.8, 3.1, 71.9, 0.0, 0.0, 0.0, 3.1, 10.8, 0.0, 0.0, 0.0, 1.6]",44.5,29021.48047,31,85.71753502,7021.980469,0.325631523,1,Isaac Sim
3,4,"[0.0, 0.0, 6.2, 0.0, 23.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 4.7, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 3.1, 0.0, 15.6, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 81.2, 1.6, 0.0, 3.1, 1.6, 1.6, 17.2, 0.0, 0.0, 0.0]",44.5,29009.26953,37,85.71753502,7021.980469,0.327099501,1,Isaac Sim
4,5.4,"[0.0, 0.0, 21.5, 0.0, 33.8, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 68.8, 0.0, 7.7, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 0.0]",44.5,29011.88281,30,85.71753502,7021.980469,0.326904623,1,Isaac Sim
5,5.4,"[15.4, 0.0, 15.4, 9.4, 40.9, 21.5, 9.2, 4.6, 0.0, 0.0, 0.0, 0.0, 12.3, 0.0, 12.3, 0.0, 33.8, 1.5, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 16.9, 0.0, 10.8, 6.1, 4.6, 0.0, 67.2, 6.2, 4.6, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 3.1]",44.5,29010.69922,38,85.71753502,7021.980469,0.326787767,1,Isaac Sim
6,4.1,"[1.5, 4.6, 6.2, 0.0, 21.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 4.6, 0.0, 0.0, 7.7, 10.8, 1.5, 15.4, 15.4, 0.0, 0.0, 1.5, 0.0, 3.1, 0.0, 15.4, 0.0, 0.0, 0.0, 78.5, 0.0, 0.0, 0.0, 6.2, 0.0, 6.2, 4.6, 3.0, 4.6]",44.5,29010.39453,30,85.6648922,7017.667969,0.32474323,1,Isaac Sim
7,4.9,"[0.0, 0.0, 18.5, 0.0, 20.0, 0.0, 9.2, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 15.2, 0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 3.1, 6.2, 4.6, 0.0, 0.0, 0.0, 3.1, 10.8, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 79.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 0.0, 3.1]",44.6,29036.87109,31,85.6610775,7017.355469,0.326635481,1,Isaac Sim
8,4.4,"[0.0, 28.1, 15.6, 0.0, 32.8, 0.0, 29.7, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 72.3, 0.0, 7.8, 0.0, 7.8, 4.7, 0.0, 1.6, 0.0, 1.6]",44.6,29039.23438,41,85.6610775,7017.355469,0.325480009,1,Isaac Sim
9,6.5,"[0.0, 0.0, 3.1, 0.0, 20.3, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 1.6, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 3.1, 1.5, 24.6, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 71.9, 0.0, 0.0, 1.6, 3.1, 0.0, 0.0, 0.0, 4.6, 0.0]",44.6,29036.07031,31,85.6610775,7017.355469,0.326643621,1,Isaac Sim
10,2.9,"[0.0, 0.0, 15.4, 1.6, 26.6, 4.6, 1.5, 0.0, 3.1, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1, 0.0, 0.0, 1.6, 1.5, 0.0, 3.1, 14.1, 4.6, 10.8, 0.0, 15.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.4, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6]",44.6,29028.45313,39,85.6610775,7017.355469,0.325420766,1,Isaac Sim
11,2.7,"[0.0, 0.0, 13.8, 0.0, 33.8, 0.0, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.2, 3.1, 0.0, 3.1, 1.5, 1.5, 0.0, 6.2, 1.5, 0.0, 0.0, 0.0, 1.5, 3.0, 3.1, 0.0, 29.7, 9.2, 0.0, 0.0, 4.6, 18.5, 3.0, 66.2, 4.6, 4.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",44.6,29032.87891,23,85.6610775,7017.355469,0.326838722,1,Isaac Sim
