Step,CPU Usage (%),Total CPU Usage (MB),Memory Usage (%),Memory Usage (MB),FPS,Real-Time Factor
0,6.2,50.0,78.3,12600.03515625,0.0,0.0
1,6.2,50.0,78.3,12600.8203125,16.12629425854797,0.5160414162735351
2,6.2,50.0,78.3,12601.3984375,21.783499961048065,0.6970719987535382
3,0.0,0.0,78.3,12601.3984375,24.082220410413054,0.7706310531332178
4,0.0,0.0,78.3,12601.390625,26.608327980651044,0.8514664953808334
5,0.0,0.0,78.3,12601.38671875,26.711092770059253,0.854754968641896
6,6.2,50.0,78.3,12601.38671875,27.58711773662592,0.8827877675720295
7,0.0,0.0,78.3,12600.546875,28.253984506567868,0.9041275042101717
8,0.0,0.0,78.3,12600.546875,29.13431882019423,0.9322982022462154
9,0.0,0.0,78.3,12600.546875,29.174091302892855,0.9335709216925713
10,6.2,50.0,78.3,12600.546875,29.565168355579615,0.9460853873785477
11,0.0,0.0,78.3,12600.52734375,30.17658570277426,0.9656507424887762
12,0.0,0.0,78.3,12600.48828125,29.697569103738655,0.950322211319637
13,0.0,0.0,78.3,12600.265625,28.899098459271666,0.9247711506966932
14,5.9,50.0,78.3,12600.265625,29.337244948939826,0.9387918383660745
15,6.2,50.0,78.3,12600.265625,29.3940663890528,0.9406101244496896
16,0.0,0.0,78.3,12600.265625,29.377135525398234,0.9400683368127436
17,0.0,0.0,78.3,12600.26171875,29.26326658759506,0.936424530803042
18,6.2,50.0,78.3,12599.8984375,29.369740063261816,0.9398316820243781
19,0.0,0.0,78.3,12599.96484375,29.72249527635822,0.951119848843463
20,6.2,50.0,78.3,12599.96484375,29.59815338974499,0.9471409084718397
21,6.2,50.0,78.3,12599.96484375,29.738972774170154,0.9516471287734449
22,0.0,0.0,78.3,12599.94140625,30.092473480867124,0.9629591513877479
23,0.0,0.0,78.3,12599.94140625,30.116499968468972,0.9637279989910071
24,0.0,0.0,78.3,12599.890625,30.435042993457255,0.9739213757906322
25,0.0,0.0,78.3,12599.890625,30.40932009282508,0.9730982429704026
26,4.2,33.3,78.3,12599.8671875,29.551439472771417,0.9456460631286854
27,11.8,66.7,78.3,12599.8671875,29.572833342037917,0.9463306669452133
28,0.0,0.0,78.3,12599.8671875,29.82809350192838,0.9544989920617082
29,6.7,50.0,78.3,12599.8671875,30.0044391885925,0.96014205403496
30,0.0,0.0,78.3,12600.6640625,30.1327209201524,0.9642470694448768
31,0.0,0.0,78.3,12600.6640625,30.257630821479328,0.9682441862873384
32,12.5,100.0,78.3,12600.6640625,30.22957886659458,0.9673465237310266
33,0.0,0.0,78.3,12600.5546875,30.112274210208913,0.9635927747266853
34,5.9,50.0,78.3,12600.5546875,30.090206684793134,0.9628866139133804
35,7.7,50.0,78.3,12600.5546875,30.556551437608707,0.9778096460034787
36,0.0,0.0,78.3,12600.5546875,30.242859091397982,0.9677714909247354
37,6.7,50.0,78.3,12600.5625,30.46745018462355,0.9749584059079536
38,5.9,50.0,78.3,12600.546875,30.526481391002033,0.976847404512065
39,6.2,50.0,78.3,12599.61328125,30.354106690943343,0.971331414110187
40,0.0,0.0,78.3,12599.61328125,30.110701212973442,0.9635424388151501
41,6.2,50.0,78.3,12599.60546875,30.044858383372727,0.9614354682679274
42,0.0,0.0,78.3,12599.6015625,30.118640871480853,0.9637965078873874
43,0.0,0.0,78.3,12599.515625,30.078057660858466,0.9624978451474708
44,0.0,0.0,78.3,12599.515625,30.2973709738877,0.9695158711644063
45,4.8,33.3,78.3,12599.5,30.06596733938103,0.9621109548601929
46,0.0,0.0,78.3,12599.48828125,30.11375952848858,0.9636403049116345
47,0.0,0.0,78.3,12599.48828125,30.153096044442453,0.9648990734221585
48,6.2,50.0,78.3,12599.48828125,30.19001632714757,0.9660805224687223
49,0.0,0.0,78.3,12599.48828125,30.03368925847273,0.9610780562711274
50,0.0,0.0,78.3,12599.48828125,30.1150823983424,0.9636826367469568
51,6.2,50.0,78.3,12602.609375,30.18047716050306,0.9657752691360978
52,13.3,150.0,78.3,12602.609375,30.237805303266306,0.9676097697045217
53,11.1,50.0,78.3,12602.609375,30.533160763882165,0.9770611444442292
54,0.0,0.0,78.3,12602.609375,30.692395660315817,0.9821566611301061
55,6.2,50.0,78.3,12602.66015625,30.637216413462344,0.9803909252307951
56,6.2,50.0,78.3,12602.66015625,30.66536475213947,0.9812916720684631
57,6.7,50.0,78.3,12602.66015625,30.598277642176686,0.979144884549654
58,0.0,0.0,78.3,12602.65234375,30.692448008728693,0.9821583362793183
59,11.8,83.3,78.3,12602.65234375,30.641537357044136,0.9805291954254123
