Step,CPU Usage (%),Total CPU Usage (MB),Memory Usage (%),Memory Usage (MB),FPS,Real-Time Factor
0,14.8,105.6,85.1,13682.265625,0.0,0.0
1,31.2,250.0,85.1,13683.796875,6.882892640236568,0.05506314112189255
2,0.0,0.0,85.1,13683.796875,11.459173846345092,0.09167339077076074
3,25.0,200.0,85.1,13681.38671875,15.033742822391986,0.1202699425791359
4,33.3,200.0,85.1,13681.38671875,17.658796076528535,0.14127036861222828
5,6.2,50.0,85.1,13681.38671875,19.431190127410076,0.1554495210192806
6,16.7,200.0,85.1,13681.38671875,21.399291843960775,0.17119433475168622
7,12.5,100.0,85.1,13681.5078125,22.287416849547686,0.1782993347963815
8,12.5,99.89999999999999,85.1,13681.5078125,22.024396263370424,0.1761951701069634
9,6.2,75.0,85.1,13681.5078125,22.812749702215662,0.18250199761772526
10,33.3,200.0,85.1,13681.48046875,23.471400151652084,0.18777120121321667
11,0.0,0.0,85.1,13681.453125,23.940613068570403,0.19152490454856322
12,6.7,50.0,85.1,13681.453125,24.51982469849349,0.19615859758794793
13,13.3,100.0,85.1,13681.453125,24.930206698781607,0.19944165359025284
14,11.1,83.3,85.1,13681.4375,25.572228819933013,0.2045778305594641
15,0.0,0.0,85.1,13681.4375,26.339214954867376,0.210713719638939
16,10.0,50.0,85.1,13681.4375,26.919879610623884,0.21535903688499108
17,14.3,150.0,85.1,13681.50390625,27.24173385741095,0.21793387085928762
18,10.0,66.7,85.1,13681.50390625,27.021469365754456,0.21617175492603563
19,22.2,100.0,85.1,13681.50390625,27.368072278398763,0.2189445782271901
20,8.3,100.0,85.1,13681.40234375,27.8735004293032,0.2229880034344256
21,6.2,50.0,85.1,13681.40234375,28.20780169053922,0.22566241352431377
22,8.3,50.0,85.1,13681.40234375,28.56937699196804,0.2285550159357443
23,7.7,100.0,85.1,13683.48828125,28.95618046969715,0.23164944375757718
24,6.7,50.0,85.1,13683.46875,29.29837435146071,0.23438699481168568
25,0.0,0.0,85.1,13683.46875,29.60857951240449,0.23686863609923592
26,14.3,66.7,85.1,13683.46875,29.903237500226226,0.2392259000018098
27,16.7,100.0,85.1,13683.46875,30.004606954307217,0.24003685563445773
28,12.5,100.0,85.1,13683.46875,30.21995367700661,0.2417596294160529
29,0.0,0.0,85.1,13683.46875,30.552315157397345,0.2444185212591788
30,6.2,50.0,85.1,13683.46875,30.61428504694726,0.24491428037557808
31,8.3,50.0,85.1,13683.45703125,30.83940993490499,0.2467152794792399
32,18.8,150.0,85.1,13681.76953125,30.936828287554643,0.24749462630043714
33,8.3,100.0,85.1,13681.76953125,31.150328906725253,0.24920263125380204
34,0.0,0.0,85.1,13681.76953125,31.48379120418164,0.2518703296334531
35,7.1,100.0,85.1,13681.74609375,31.632751390929972,0.2530620111274398
36,12.5,100.0,85.1,13681.74609375,31.59782449018028,0.25278259592144225
37,8.3,50.0,85.1,13681.74609375,31.775947667612844,0.25420758134090277
38,26.7,216.7,85.1,13681.73828125,31.951041302486104,0.25560833041988884
39,7.1,100.0,85.1,13681.73828125,32.03350735470221,0.25626805883761766
40,33.3,216.7,85.1,13681.73828125,32.12227944434169,0.25697823555473354
41,7.7,50.0,85.1,13681.73828125,32.22446996337312,0.257795759706985
42,20.0,133.3,85.1,13681.703125,32.457396720299016,0.2596591737623921
43,6.2,100.0,85.1,13681.703125,32.46818252600217,0.2597454602080173
44,0.0,0.0,85.1,13681.703125,32.49296367818423,0.25994370942547385
45,15.4,100.0,85.1,13681.703125,32.64232139555742,0.2611385711644593
46,0.0,0.0,85.1,13681.703125,32.75350901987147,0.2620280721589718
47,18.8,150.0,85.1,13681.703125,32.76546198382905,0.2621236958706324
48,16.7,100.0,85.1,13681.703125,32.85347571766714,0.26282780574133713
49,6.2,50.0,85.1,13681.703125,32.895580515951934,0.2631646441276155
50,0.0,0.0,85.1,13681.703125,33.01561193079157,0.2641248954463326
51,16.7,200.0,85.1,13681.703125,33.01271280215939,0.2641017024172751
52,16.0,108.3,85.1,13681.69921875,32.72094888794973,0.2617675911035979
53,25.0,150.0,85.1,13681.69921875,32.709451817008556,0.26167561453606847
54,6.2,50.0,85.1,13681.69921875,32.80614568762898,0.2624491655010318
55,0.0,0.0,85.1,13681.69921875,32.901935178743244,0.26321548142994594
56,18.8,150.0,85.1,13681.69921875,33.04834847620594,0.2643867878096475
57,10.0,50.0,85.0,13681.26171875,33.15177634066737,0.26521421072533896
58,0.0,0.0,85.0,13681.26171875,33.16094649584216,0.2652875719667373
59,8.3,50.0,85.0,13681.26171875,33.34846734385825,0.266787738750866
