Step,CPU Usage (%),Total CPU Usage (MB),Memory Usage (%),Memory Usage (MB),FPS,Real-Time Factor
0,15.4,100,85.4,13738.51172,0,0
1,20,100,85.4,13739.24609,26.70833731318573,0.42733339701097167
2,25,200,85.4,13739.89453,39.93852540968777,0.6390164065550044
3,10,50,85.4,13739.89453,37.34056627010152,0.5974490603216244
4,25,200,85.4,13739.82031,43.34078016016533,0.6934524825626454
5,12.5,100,85.4,13739.76563,40.375346063063375,0.646005537
6,0,0,85.4,13739.90625,43.55395563924348,0.6968632902278958
7,14.3,100,85.4,13739.89453,46.986128270290685,0.751778052
8,25,200,85.4,13739.74609,47.835677993647465,0.7653708478983594
9,20,100,85.4,13737.12109,51.77173045431729,0.8283476872690766
10,25,100,85.4,13736.38281,54.10685652144187,0.8657097043430699
11,0,0,85.4,13734.21484,55.70299683438089,0.8912479493500942
12,0,0,85.4,13734.95313,58.18532917621844,0.930965267
13,33.3,100,85.4,13735.15625,60.14214586518247,0.9622743338429195
14,0,0,85.4,13735.26953,61.12764608579694,0.978042337
15,20,150,85.4,13735.47266,62.52391061,1.0003825697044864
16,0,0,85.4,13735.25,63.60077258571702,1.0176123613714723
17,25,200,85.4,13735.33203,63.66831798099143,1.018693087695863
18,0,0,85.4,13735.83594,64.00016276083059,1.0240026041732893
19,12.5,100,85.4,13736.02734,61.660944322236055,0.9865751091557768
20,18.8,100,85.4,13736.27734,59.04422576233536,0.9447076121973658
21,17.6,150,85.4,13736.1875,57.12613223785848,0.9140181158057358
22,0,0,85.4,13736.30469,56.12344462569444,0.897975114
23,12.5,100,85.4,13736.43359,54.891207641946494,0.8782593222711439
24,12.5,100,85.4,13736.43359,53.95461978675063,0.863273917
25,0,0,85.4,13736.5625,53.299500642495815,0.85279201
26,6.2,50,85.4,13736.55859,51.76869930624983,0.8282991888999972
27,19,133.3,85.4,13737.50781,50.439925707184756,0.8070388113149561
28,0,0,85.4,13737.42188,50.0607265,0.8009716239954543
29,0,0,85.4,13737.37109,49.64123091339024,0.7942596946142438
30,10,100,85.4,13737.36719,49.32044086503242,0.7891270538405186
31,5.9,50,85.4,13737.28516,48.880949713571646,0.7820951954171463
32,6.2,50,85.4,13737.20313,48.56833806,0.7770934089673824
33,0,0,85.4,13737.19922,48.250523946772866,0.7720083831483658
34,7.7,50,85.4,13737.12109,48.06317903918357,0.7690108646269371
35,0,0,85.4,13737.04297,48.51202567557163,0.776192411
36,12.5,100,85.4,13737.03906,48.66489168153789,0.7786382669046061
37,12.5,100,85.4,13736.97266,48.48894238039711,0.7758230780863538
38,6.7,100,85.4,13736.89844,48.32465390792446,0.7731944625267912
39,0,0,85.4,13736.875,48.29871781433479,0.7727794850293567
40,0,0,85.4,13736.82813,48.751419488693486,0.7800227118190959
41,11.1,100,85.4,13736.75781,48.76693818889644,0.7802710110223431
42,12.5,100,85.4,13736.69531,47.94254757357228,0.7670807611771565
43,12.5,100,85.4,13736.67969,48.45096194013311,0.7752153910421298
44,0,0,85.4,13736.60938,48.568117574454476,0.7770898811912716
45,16.7,100,85.4,13736.53516,48.53873083234559,0.7766196933175296
46,0,0,85.4,13736.52344,49.060303559668114,0.7849648569546898
47,12.5,100,85.4,13736.70703,49.22679346836729,0.7876286954938766
48,0,0,85.4,13737.54297,49.590969674681375,0.7934555147949021
49,12.5,100,85.4,13737.54297,49.63214270965879,0.7941142833545406
50,15.4,100,85.4,13737.47266,49.573514297033746,0.793176229
51,9.1,100,85.4,13737.40234,49.40814581476857,0.790530333
52,12.5,100,85.3,13725.97656,49.32256894410387,0.7891611031056619
53,12.5,100,85.3,13725.04297,49.52384126482693,0.7923814602372308
54,12.5,100,85.3,13724.97266,49.66853988023889,0.7946966380838223
55,0,0,85.3,13724.97266,49.47073134902892,0.7915317015844627
56,0,0,85.3,13724.90234,49.85981742487733,0.7977570787980373
57,0,0,85.3,13724.83203,49.64533005403614,0.7943252808645782
58,7.7,50,85.3,13724.83203,49.57902136,0.7932643417527648
59,33.3,100,85.3,13724.76172,49.52562268784204,0.7924099630054726
