Step,CPU Usage (%),Total CPU Usage (MB),Memory Usage (%),Memory Usage (MB),FPS,Real-Time Factor,,Simulator
0,6.5,55.4,81.2,13066.34375,0,0,,Webots
1,0,0,81.2,13067.72656,6.325439423301688,0.20241406154565403,,Webots
2,3.2,50,81.3,13070.78906,9.072433610995148,0.29031787555184474,,Webots
3,11.8,50,81.3,13070.29688,12.01995729986101,0.38463863359555234,,Webots
4,12.5,100,81.2,13069.79688,14.223765599565926,0.4551604991861096,,Webots
5,6.2,50,81.2,13069.95313,16.121000982410397,0.5158720314371327,,Webots
6,6.2,50,81.3,13070.73438,17.36868934702354,0.5557980591047533,,Webots
7,0,0,81.3,13071.85156,18.808827297793176,0.6018824735293816,,Webots
8,5.3,50,81.3,13072.51953,19.436419444510413,0.6219654222243333,,Webots
9,8.3,66.7,81.3,13074.40234,19.463719700676638,0.6228390304216523,,Webots
10,4.3,33.3,81.3,13075.62109,19.865658394171646,0.6357010686134927,,Webots
11,14,100,81.3,13075.31641,18.714583734735722,0.5988666795115432,,Webots
12,11.1,50,81.3,13075.30859,19.35547494349871,0.6193751981919586,,Webots
13,9.5,100,81.3,13074.76953,19.643555225076447,0.6285937672024463,,Webots
14,6.2,50,81.3,13073.95703,20.222604723500478,0.6471233511520154,,Webots
15,13.3,100,81.3,13073.35156,20.686889092969828,0.6619804509750344,,Webots
16,12,100,81.3,13072.67969,20.942305483850028,0.670153775,,Webots
17,16,108.3,81.3,13072.00781,20.91607394867664,0.6693143663576525,,Webots
18,12.5,100,81.3,13071.33594,21.26291645731615,0.6804133266341168,,Webots
19,12.5,100,81.3,13070.66406,21.511039514216026,0.6883532644549128,,Webots
20,13.3,100,81.2,13069.70703,21.650942824025023,0.6928301703688008,,Webots
21,0,0,81.2,13069.03516,22.347951624304358,0.7151344519777395,,Webots
22,15.8,100,81.2,13068.36328,22.51607681381612,0.7205144580421159,,Webots
23,9.5,100,81.2,13067.75781,22.51818128130654,0.7205818010018092,,Webots
24,18.8,150,81.2,13067.59375,22.796152544883128,0.7294768814362601,,Webots
25,12.5,100,81.2,13067.85156,23.114838805248947,0.7396748417679664,,Webots
26,12.5,100,81.3,13071.23047,22.70568408814274,0.7265818908205676,,Webots
27,9.1,50,81.3,13070.95703,23.21257837966473,0.7428025081492714,,Webots
28,9.1,100,81.3,13070.47266,23.55012400658374,0.7536039682106797,,Webots
29,13.3,100,81.3,13079.51563,23.863055849071706,0.7636177871702946,,Webots
30,10.5,100,81.3,13078.22656,23.951305967272727,0.7664417909527272,,Webots
31,12.5,100,81.3,13077.62109,24.250799106388488,0.7760255714044316,,Webots
32,18.8,150,81.3,13076.94922,24.383171439196456,0.7802614860542867,,Webots
33,12.5,100,81.3,13076.30469,24.492537503592164,0.7837612001149492,,Webots
34,12.5,100,81.3,13075.63281,24.648776759414083,0.7887608563012507,,Webots
35,16.7,133.4,81.3,13074.96094,24.727766667924385,0.7912885333735804,,Webots
36,14.6,112,81.3,13074.21875,23.807326374528902,0.7618344439849248,,Webots
37,11.1,100,81.3,13073.57422,24.232648291987417,0.7754447453435973,,Webots
38,12.5,100,81.3,13072.90234,24.40229294990323,0.7808733743969034,,Webots
39,18.8,150,81.3,13072.22266,24.66661348653233,0.7893316315690346,,Webots
40,10.5,66.7,81.3,13071.53516,24.69337310048044,0.790187939,,Webots
41,7.7,100,81.3,13070.86328,24.873825910881397,0.7959624291482048,,Webots
42,16.7,133.3,81.3,13070.19141,24.92310500127968,0.7975393600409498,,Webots
43,18.2,100,81.2,13069.51953,25.113963082189624,0.8036468186300679,,Webots
44,8.9,80,81.2,13068.84766,24.49963114356381,0.7839881965940418,,Webots
45,0,0,81.2,13068.13281,24.84914974882099,0.7951727919622718,,Webots
46,0,0,81.2,13067.46094,25.083505388251712,0.8026721724240548,,Webots
47,3.2,25,81.2,13066.78906,24.920433026212862,0.7974538568388115,,Webots
48,16.7,116.7,81.2,13066,25.005460853861578,0.8001747473235705,,Webots
49,12.5,100,81.2,13065.33984,25.192379853146424,0.8061561553006855,,Webots
50,18.2,133.3,81.2,13065.84766,25.191541540928302,0.8061293293097057,,Webots
51,11.1,100,81.2,13066.39844,25.43398195230609,0.8138874224737949,,Webots
52,12.5,83.3,81.3,13072.85547,25.483837791953395,0.8154828093425086,,Webots
53,5.9,33.3,81.3,13079.60547,25.49663953042659,0.815892465,,Webots
54,12.5,100,81.3,13078.93359,25.548512327428966,0.8175523944777269,,Webots
55,13.3,100,81.3,13077.3125,25.784009216162353,0.8250882949171953,,Webots
56,17.6,150,81.3,13076.64063,25.81759281894173,0.8261629702061354,,Webots
57,12.5,100,81.3,13075.89453,25.93389028430968,0.8298844890979098,,Webots
58,64,508.4,81.3,13076.8125,25.928142687601486,0.8297005660032476,,Webots
59,7.7,50,81.3,13076.20313,26.100409778142662,0.8352131129005651,,Webots
