Step,CPU Usage (%),Total CPU Usage (MB),Memory Usage (%),Memory Usage (MB),FPS,Real-Time Factor
0,12.5,99.89999999999999,75.8,12189.30078125,0.0,0.0
1,3.2,25.0,75.9,12204.5703125,9.190396578282524,0.5881853810100816
2,0.0,0.0,75.9,12204.5703125,11.308434472318048,0.7237398062283551
3,0.0,0.0,75.9,12202.39453125,13.025950632927117,0.8336608405073355
4,0.0,0.0,75.9,12205.140625,13.470763271867126,0.8621288493994961
5,3.1,25.0,75.9,12205.10546875,13.813356026784245,0.8840547857141916
6,3.2,25.0,75.9,12204.828125,14.054620504162633,0.8994957122664086
7,3.0,25.0,75.9,12204.828125,14.383638780198284,0.9205528819326901
8,9.4,75.0,75.9,12204.828125,14.913776865142596,0.9544817193691262
9,0.0,0.0,75.9,12204.828125,14.824715336298638,0.9487817815231128
10,3.0,20.0,75.9,12204.6875,14.995010963011055,0.9596807016327075
11,3.1,25.0,75.9,12204.6875,14.92836753724703,0.9554155223838099
12,2.5,20.0,75.9,12204.6875,14.871774809758023,0.9517935878245135
13,3.1,25.0,75.9,12203.01953125,14.944603016331474,0.9564545930452142
14,12.5,90.0,75.9,12203.01953125,14.945123233100656,0.956487886918442
15,3.0,25.0,75.9,12203.01953125,14.973717568221748,0.9583179243661919
16,3.1,25.0,75.8,12200.49609375,15.068409401535337,0.9643782016982616
17,9.1,65.0,75.8,12200.49609375,15.083840213169829,0.9653657736428691
18,0.0,0.0,75.8,12200.49609375,15.12885648466544,0.968246815018588
19,3.1,25.0,75.9,12201.7265625,15.060146833631702,0.9638493973524288
20,25.8,200.0,75.9,12201.7265625,15.303794237630557,0.9794428312083557
21,2.4,20.0,75.9,12201.7265625,15.14348232210741,0.9691828686148743
22,0.0,0.0,75.9,12201.7265625,14.998497788293152,0.9599038584507616
23,2.5,20.0,75.9,12201.7109375,14.868670826814318,0.9515949329161163
24,9.4,60.0,75.9,12201.7109375,14.889302121944509,0.9529153358044486
25,9.1,60.0,75.9,12201.703125,14.907873601768399,0.9541039105131776
26,0.0,0.0,75.9,12201.703125,14.876861706808027,0.9521191492357137
27,8.3,66.69999999999999,75.9,12201.703125,14.672436506710808,0.9390359364294917
28,3.1,25.0,75.9,12201.703125,14.76378202597831,0.9448820496626119
29,0.0,0.0,75.9,12201.703125,14.866833984752656,0.9514773750241701
30,5.9,50.0,75.9,12201.703125,14.873863249101895,0.9519272479425211
31,9.4,75.0,75.9,12201.703125,14.914574270777162,0.9545327533297384
32,5.0,60.0,75.9,12201.67578125,14.814653973958572,0.9481378543333486
33,9.1,50.0,75.9,12201.58984375,14.883151822694275,0.9525217166524336
34,4.2,33.3,75.9,12201.59375,14.998114906959026,0.9598793540453777
35,6.2,50.0,75.8,12201.40625,14.944539001157382,0.9564504960740725
36,4.2,33.3,75.8,12201.40625,15.113368472257532,0.967255582224482
37,3.1,25.0,75.8,12201.33203125,15.10851557214665,0.9669449966173856
38,12.5,100.0,75.8,12201.33203125,15.141765107796934,0.9690729668990037
39,9.7,75.0,75.8,12201.33203125,15.202025748989314,0.9729296479353161
40,5.9,40.0,75.8,12201.33203125,15.254976784582897,0.9763185142133054
41,0.0,0.0,75.8,12201.33203125,15.242647245874354,0.9755294237359586
42,0.0,0.0,75.8,12201.33203125,15.234471820328107,0.975006196500999
43,7.3,60.0,75.8,12201.33203125,15.159185207673737,0.970187853291119
44,15.2,110.0,75.8,12201.33203125,15.242702639841841,0.9755329689498778
45,3.1,25.0,75.8,12201.33203125,15.243862312663822,0.9756071880104845
46,12.1,85.0,75.8,12201.33203125,15.24705111806291,0.9758112715560262
47,3.1,25.0,75.8,12201.16015625,15.275945481168488,0.9776605107947832
48,12.5,100.0,75.8,12201.16015625,15.167817073617256,0.9707402927115043
49,6.2,50.0,75.8,12201.1171875,15.231644270026704,0.9748252332817091
50,3.1,25.0,75.8,12201.34375,15.185406383288083,0.9718660085304374
51,0.0,0.0,75.8,12201.34375,15.253352272605726,0.9762145454467664
52,12.5,99.89999999999999,75.8,12201.34375,15.308903716327668,0.9797698378449707
53,19.5,153.3,75.8,12201.34375,15.24428519604811,0.975634252547079
54,3.2,25.0,75.8,12201.34375,15.31123758759555,0.9799192056061151
55,8.8,65.0,75.8,12201.33984375,15.334174290933086,0.9813871546197175
56,0.0,0.0,75.8,12201.33203125,15.355162349996414,0.9827303903997705
57,3.1,25.0,75.8,12201.33203125,15.335149152762636,0.9814495457768087
58,3.1,25.0,75.8,12201.33203125,15.275403630562106,0.9776258323559748
59,3.1,25.0,75.8,12201.33203125,15.33749710481921,0.9815998147084295
