Step,CPU Usage (%),Total CPU Usage (MB),Memory Usage (%),Memory Usage (MB),FPS,Real-Time Factor
0,7.5,60.0,74.9,12054.62109375,0.0,0.0
1,6.2,50.0,74.8,12029.578125,7.386028492436649,0.47270582351594553
2,9.4,75.0,74.8,12028.84375,10.000379099911902,0.6400242623943617
3,15.6,115.0,74.8,12028.31640625,12.04558264918515,0.7709172895478495
4,0.0,0.0,74.8,12027.79296875,12.760998109111709,0.8167038789831493
5,9.4,78.3,74.8,12027.4453125,13.347598592907383,0.8542463099460725
6,3.1,25.0,74.8,12027.05078125,13.739495894664948,0.8793277372585567
7,9.4,83.3,74.8,12026.4765625,13.992353802939334,0.8955106433881175
8,0.0,0.0,74.8,12026.7890625,14.188466448391884,0.9080618526970805
9,6.2,50.0,74.7,12023.93359375,14.183703712610129,0.9077570376070482
10,3.1,25.0,74.7,12023.91796875,14.241862540334589,0.9114792025814137
11,6.2,50.0,74.7,12023.09765625,14.653521144653888,0.9378253532578488
12,6.5,58.3,74.7,12022.65625,14.80581658626643,0.9475722615210516
13,12.5,100.0,74.7,12024.23828125,14.744422838597291,0.9436430616702266
14,18.2,150.0,74.8,12034.3984375,14.755987243363919,0.9443831835752908
15,18.4,150.0,74.8,12034.57421875,14.742976210952458,0.9435504775009572
16,9.4,75.0,74.8,12030.875,14.864730874265195,0.9513427759529726
17,11.8,90.0,74.8,12030.84765625,14.943904792483865,0.9564099067189674
18,0.0,0.0,74.8,12030.53125,14.855001866283585,0.9507201194421494
19,9.1,65.0,74.8,12029.8203125,14.992784283682969,0.95953819415571
20,3.1,25.0,74.8,12029.22265625,14.998625046889655,0.959912003000938
21,12.5,100.0,74.8,12028.53515625,14.970193841750037,0.9580924058720024
22,9.4,75.0,74.8,12027.80859375,15.000726344859697,0.9600464860710205
23,15.6,115.0,74.8,12027.203125,15.175766217450693,0.9712490379168444
24,2.4,20.0,74.8,12026.53125,15.008273364079457,0.9605294953010852
25,0.0,0.0,74.8,12025.71875,14.903468482905604,0.9538219829059587
26,12.8,100.0,74.8,12024.765625,14.879360442904641,0.9522790683458969
27,0.0,0.0,74.7,12024.01953125,14.867175944116976,0.9514992604234864
28,3.1,25.0,74.7,12023.39453125,14.8783929784021,0.9522171506177344
29,6.2,50.0,74.7,12022.765625,14.941374470952198,0.9562479661409407
30,9.4,75.0,74.7,12022.0546875,14.966107470557906,0.9578308781157059
31,0.0,0.0,74.7,12021.51171875,14.999990078717303,0.9599993650379074
32,3.1,25.0,74.8,12032.62109375,15.016146714555358,0.961033389731543
33,9.4,75.0,74.8,12030.7109375,15.056223907487983,0.9635983300792309
34,5.1,40.0,74.6,11997.4765625,15.000714869066197,0.9600457516202368
35,9.1,75.0,74.6,11997.41796875,15.003558730500059,0.9602277587520038
36,3.1,25.0,74.6,11996.6171875,15.00638876156773,0.9604088807403346
37,3.1,25.0,74.6,11995.1953125,15.043668241643642,0.9627947674651931
38,6.2,50.0,74.6,11994.5703125,15.108346459708356,0.9669341734213348
39,3.2,25.0,74.6,11993.90625,15.111383571628508,0.9671285485842246
40,6.1,45.0,74.6,11993.26171875,15.109639162830316,0.9670169064211402
41,3.1,25.0,74.6,11992.53125,15.10409355964966,0.9666619878175783
42,6.2,50.0,74.5,11991.99609375,15.174029231585548,0.9711378708214752
43,17.5,140.0,74.5,11987.51953125,15.107383545954598,0.9668725469410941
44,9.4,75.0,74.5,11988.65625,15.093285571162772,0.9659702765544174
45,12.9,100.0,74.5,11989.48828125,15.133212407901798,0.968525594105715
46,21.9,170.0,74.5,11989.11328125,15.169462689249752,0.9708456121119841
47,15.2,120.0,74.5,11989.68359375,15.149825601885986,0.9695888385207031
48,16.1,125.0,74.6,11994.796875,15.160285629345111,0.9702582802780871
49,6.1,50.0,74.6,11994.40625,15.14377616134506,0.969201674326084
50,5.0,40.0,74.6,11993.95703125,15.108740828517126,0.9669594130250961
51,27.3,210.0,74.6,11992.890625,15.133249022926526,0.9685279374672976
52,3.1,25.0,74.5,11992.2578125,15.132266465887222,0.9684650538167822
53,21.9,175.0,74.5,11991.609375,15.147309483148016,0.9694278069214729
54,12.5,100.0,74.5,11990.078125,15.181435693105682,0.9716118843587636
55,6.2,50.0,74.5,11989.38671875,15.225950737814694,0.9744608472201404
56,6.2,50.0,74.5,11988.62890625,15.212382338195406,0.9735924696445061
57,15.6,125.0,74.5,11988.06640625,15.215042235486465,0.9737627030711338
58,9.8,70.0,74.5,11984.19140625,15.20704364672547,0.9732507933904302
59,15.0,120.0,74.5,11984.4375,15.126323883759111,0.9680847285605831
