Iteration,CPU Usage,Memory Usage,GPU Usage,FPS,Simulator,,,,,,,,,,,,
1,40.9,4.1,0,23.08,Gazebo,,,,,,,,,,,,
2,42.2,4.1,0,25.21,Gazebo,,,,,,,,,,,,
3,44.4,4.1,0,26.46,Gazebo,,,,,,,,,,,,
4,44.5,4.1,0,27.3,Gazebo,,,,,,,,,,,,
5,44.9,4.1,0,27.92,Gazebo,,,,,,,,,,,,
6,44.9,4.1,0,28.35,Gazebo,,,,,,,,,,,,
7,44.2,4.1,0,28.65,Gazebo,,,,,,,,,,,,
8,45.5,4.1,0,28.95,Gazebo,,,,,,,,,,,,
9,44.9,4.1,0,29.14,Gazebo,,,,,,,,,,,,
10,45.9,4.1,0,29.33,Gazebo,,,,,,,,,,,,
11,44.7,4.1,0,29.49,Gazebo,,,,,,,,,,,,
12,44.2,4.1,0,29.61,Gazebo,,,,,,,,,,,,
13,44.6,4.1,0,29.73,Gazebo,,,,,,,,,,,,
14,44.4,4.1,0,29.81,Gazebo,,,,,,,,,,,,
15,45,4.1,0,29.89,Gazebo,,,,,,,,,,,,
1,255.8,0.278237118,0,29.1398,CoppeliaSim,,,,,,,,,,,,
2,262.8,0.278237118,0,32.496,CoppeliaSim,,,,,,,,,,,,
3,253.8,0.278237118,0,31.3539,CoppeliaSim,,,,,,,,,,,,
4,245.8,0.278237118,0,32.635,CoppeliaSim,,,,,,,,,,,,
5,248.7,0.278237118,0,32.2256,CoppeliaSim,,,,,,,,,,,,
6,257.6,0.278237118,0,32.4954,CoppeliaSim,,,,,,,,,,,,
7,248.7,0.278237118,0,31.2964,CoppeliaSim,,,,,,,,,,,,
8,61.9,0.278237118,0,32.3406,CoppeliaSim,,,,,,,,,,,,
9,58.9,0.278237118,0,30.6595,CoppeliaSim,,,,,,,,,,,,
10,245.7,0.278237118,0,29.6535,CoppeliaSim,,,,,,,,,,,,
11,245.7,0.278237118,0,33.0019,CoppeliaSim,,,,,,,,,,,,
12,248.6,0.278237118,0,32.5859,CoppeliaSim,,,,,,,,,,,,
13,247.7,0.278237118,0,32.1012,CoppeliaSim,,,,,,,,,,,,
14,244.7,0.278237118,0,30.6924,CoppeliaSim,,,,,,,,,,,,
15,239.7,0.278237118,0,29.6922,CoppeliaSim,,,,,,,,,,,,
1,10,85.1,0,27.021469365754456,Webots,,,,,,,,,,,,
2,22.2,85.1,0,27.368072278398763,Webots,,,,,,,,,,,,
3,8.3,85.1,0,27.87350043,Webots,,,,,,,,,,,,
4,6.2,85.1,0,28.20780169053922,Webots,,,,,,,,,,,,
5,8.3,85.1,0,28.56937699196804,Webots,,,,,,,,,,,,
6,7.7,85.1,0,28.95618046969715,Webots,,,,,,,,,,,,
7,6.7,85.1,0,29.29837435146071,Webots,,,,,,,,,,,,
8,0,85.1,0,29.60857951240449,Webots,,,,,,,,,,,,
9,14.3,85.1,0,29.903237500226226,Webots,,,,,,,,,,,,
10,16.7,85.1,0,30.004606954307217,Webots,,,,,,,,,,,,
11,12.5,85.1,0,30.21995367700661,Webots,,,,,,,,,,,,
12,0,85.1,0,30.552315157397345,Webots,,,,,,,,,,,,
13,6.2,85.1,0,30.61428504694726,Webots,,,,,,,,,,,,
14,8.3,85.1,0,30.83940993490499,Webots,,,,,,,,,,,,
15,18.8,85.1,0,30.936828287554643,Webots,,,,,,,,,,,,
1,3.6,45.8,38,32.73,Isaac Sim,,,,,,,,,,,,
2,8.9,45.8,41,32.49,Isaac Sim,,,,,,,,,,,,
3,4.6,45.8,39,32.52,Isaac Sim,,,,,,,,,,,,
4,2.6,45.8,42,32.69,Isaac Sim,,,,,,,,,,,,
5,5,45.8,34,32.54,Isaac Sim,,,,,,,,,,,,
6,4.5,45.8,37,32.7,Isaac Sim,,,,,,,,,,,,
7,5.8,45.8,39,32.7,Isaac Sim,,,,,,,,,,,,
8,5.3,45.8,39,32.51,Isaac Sim,,,,,,,,,,,,
9,3.8,45.7,39,32.52,Isaac Sim,,,,,,,,,,,,
10,2.9,45.8,40,32.68,Isaac Sim,,,,,,,,,,,,
11,5,45.8,41,32.7,Isaac Sim,,,,,,,,,,,,
12,5.4,45.8,38,32.52,Isaac Sim,,,,,,,,,,,,
13,3.6,45.8,42,32.68,Isaac Sim,,,,,,,,,,,,
14,3.5,45.8,32,32.68,Isaac Sim,,,,,,,,,,,,
15,5.8,45.8,39,32.67,Isaac Sim,,,,,,,,,,,,
