Iteration,CPU Usage,Memory Usage,FPS,GPU Usage,Simulator,,,,,
1,77.7,3.7,18.64,0,Gazebo,,,,,
2,77.2,3.7,23.39,0,Gazebo,,,,,
3,77.3,3.7,25.54,0,Gazebo,,,,,
4,77.2,3.7,26.77,0,Gazebo,,,,,
5,78.3,3.7,27.62,0,Gazebo,,,,,
6,80.6,3.7,28.21,0,Gazebo,,,,,
7,80.8,3.7,28.65,0,Gazebo,,,,,
8,80.5,3.7,28.97,0,Gazebo,,,,,
9,80.1,3.7,29.23,0,Gazebo,,,,,
10,80.6,3.7,29.41,0,Gazebo,,,,,
11,78.9,3.7,29.61,0,Gazebo,,,,,
12,80.2,3.7,29.77,0,Gazebo,,,,,
13,80.7,3.7,29.88,0,Gazebo,,,,,
14,80.9,3.7,29.97,0,Gazebo,,,,,
15,81.2,3.7,30.06,0,Gazebo,,,,,
1,12.5,85.4,50.439925707184756,0,Webots,,,,,
2,18.8,85.4,50.0607265,0,Webots,,,,,
3,17.6,85.4,49.64123091339024,0,Webots,,,,,
4,12.5,85.4,49.32044086503242,0,Webots,,,,,
5,12.5,85.4,48.880949713571646,0,Webots,,,,,
6,6.2,85.4,48.56833806,0,Webots,,,,,
7,19,85.4,48.250523946772866,0,Webots,,,,,
8,10,85.4,48.06317903918357,0,Webots,,,,,
9,5.9,85.4,48.51202567557163,0,Webots,,,,,
10,6.2,85.4,48.66489168153789,0,Webots,,,,,
11,12.5,85.4,48.48894238039711,0,Webots,,,,,
12,12.5,85.4,48.32465390792446,0,Webots,,,,,
13,6.7,85.4,48.29871781433479,0,Webots,,,,,
14,11.1,85.4,48.751419488693486,0,Webots,,,,,
15,33.3,85.3,49.52562268784204,0,Webots,,,,,
1,7,48.4,32.68,40,Isaac Sim,,,,,
2,6.8,48.4,32.74,33,Isaac Sim,,,,,
3,5.3,48.4,32.51,41,Isaac Sim,,,,,
4,8.4,48.4,32.52,39,Isaac Sim,,,,,
5,4.9,48.4,32.68,39,Isaac Sim,,,,,
6,4.4,48.5,32.67,38,Isaac Sim,,,,,
7,8.1,48.5,32.52,40,Isaac Sim,,,,,
8,5.8,48.5,32.54,37,Isaac Sim,,,,,
9,6,48.5,32.68,37,Isaac Sim,,,,,
10,5.8,48.5,32.69,39,Isaac Sim,,,,,
11,6,48.5,32.71,39,Isaac Sim,,,,,
12,5.4,48.5,32.54,39,Isaac Sim,,,,,
13,5,48.5,32.52,38,Isaac Sim,,,,,
14,6.5,48.5,32.66,39,Isaac Sim,,,,,
15,4.5,48.5,32.7,40,Isaac Sim,,,,,
1,278.6,0.28661304,18.92,0,CoppeliaSim,,,,,
2,278.6,0.28661304,17.99,0,CoppeliaSim,,,,,
3,276.6,0.28661304,16.85,0,CoppeliaSim,,,,,
4,283.6,0.28661304,16.16,0,CoppeliaSim,,,,,
5,276.6,0.28661304,19.85,0,CoppeliaSim,,,,,
6,277.6,0.28661304,19.34,0,CoppeliaSim,,,,,
7,273.6,0.28661304,18.62,0,CoppeliaSim,,,,,
8,279.6,0.28661304,18.68,0,CoppeliaSim,,,,,
9,280.6,0.28661304,17.88,0,CoppeliaSim,,,,,
10,282.6,0.28661304,19.31,0,CoppeliaSim,,,,,
11,277.6,0.28661304,19.79,0,CoppeliaSim,,,,,
12,281.6,0.28661304,19.17,0,CoppeliaSim,,,,,
13,280.6,0.28661304,19.39,0,CoppeliaSim,,,,,
14,270.6,0.28661304,17.95,0,CoppeliaSim,,,,,
15,279.6,0.28661304,17.8,0,CoppeliaSim,,,,,
