Iteration,CPU Usage,Memory Usage (%),FPS,GOU Usage (%),Simulator
1,41,3.9,23,0,Gazebo
2,39.5,3.9,25,0,Gazebo
3,39.3,3.9,26,0,Gazebo
4,40.6,3.9,27,0,Gazebo
5,42.6,3.9,28,0,Gazebo
6,41.4,3.9,28,0,Gazebo
7,43.2,3.9,28,0,Gazebo
8,43,3.9,29,0,Gazebo
9,43.8,3.9,29,0,Gazebo
10,40.6,3.9,29,0,Gazebo
11,38.4,3.9,29,0,Gazebo
12,35.4,3.9,29,0,Gazebo
13,34.5,3.9,29,0,Gazebo
14,34.6,3.9,29,0,Gazebo
15,35.9,3.9,29,0,Gazebo
1,241.7,0.254634725,32.8,0,CoppeliaSim
2,243.7,0.254634725,28.04,0,CoppeliaSim
3,235.6,0.254634725,26.7,0,CoppeliaSim
4,240.7,0.254834874,27.51,0,CoppeliaSim
5,231.7,0.254834874,29.56,0,CoppeliaSim
6,240.7,0.254834874,29.58,0,CoppeliaSim
7,237.7,0.254834874,30.35,0,CoppeliaSim
8,230.7,0.254834874,32.78,0,CoppeliaSim
9,233.8,0.254834874,30.67,0,CoppeliaSim
10,231.6,0.254834874,30.64,0,CoppeliaSim
11,232.7,0.254834874,30.32,0,CoppeliaSim
12,240.7,0.254834874,30.06,0,CoppeliaSim
13,239.7,0.254834874,34.32,0,CoppeliaSim
14,226.7,0.254834874,32.31,0,CoppeliaSim
15,240.6,0.254834874,33.74,0,CoppeliaSim
1,3.8,44.5,32.69,35,Isaac Sim
2,4.5,44.6,32.53,38,Isaac Sim
3,4.1,44.6,32.68,39,Isaac Sim
4,5.7,44.5,32.51,37,Isaac Sim
5,4.1,44.5,32.74,41,Isaac Sim
6,3.8,44.5,32.71,31,Isaac Sim
7,6.3,44.5,32.49,39,Isaac Sim
8,4.1,44.5,32.52,40,Isaac Sim
9,3.4,44.6,32.69,31,Isaac Sim
10,7,44.6,32.53,31,Isaac Sim
11,4.5,44.6,32.73,35,Isaac Sim
12,5.2,44.6,32.69,38,Isaac Sim
13,3.9,44.6,32.53,30,Isaac Sim
14,4,44.6,32.51,34,Isaac Sim
15,4.3,44.6,32.54,31,Isaac Sim
1,12.5,81.3,21.26291645731615,0,Webots
2,12.5,81.3,21.511039514216026,0,Webots
3,13.3,81.2,21.650942824025023,0,Webots
4,0,81.2,22.347951624304358,0,Webots
5,15.8,81.2,22.51607681381612,0,Webots
6,9.5,81.2,22.51818128130654,0,Webots
7,18.8,81.2,22.796152544883128,0,Webots
8,12.5,81.2,23.114838805248947,0,Webots
9,12.5,81.3,22.70568408814274,0,Webots
10,9.1,81.3,23.21257837966473,0,Webots
11,9.1,81.3,23.55012400658374,0,Webots
12,13.3,81.3,23.863055849071706,0,Webots
13,10.5,81.3,23.951305967272727,0,Webots
14,12.5,81.3,24.250799106388488,0,Webots
15,18.8,81.3,24.383171439196456,0,Webots
